symbol,company_name,exchange,sector,market_cap
AIXC,AIxCrypto Holdings Inc. Common Stock,NASDAQ,Health Care,28531340
AIXI,XIAO-I Corporation American Depositary Shares,NASDAQ,Technology,9781364
AKAM,Akamai Technologies Inc. Common Stock,NASDAQ,Real Estate,15573254017
AKAN,Akanda Corp. Common Shares,NASDAQ,Health Care,21953891
AKBA,Akebia Therapeutics Inc. Common Stock,NASDAQ,Health Care,402375065
AKTS,Aktis Oncology Inc. Common stock,NASDAQ,Health Care,1050244038
AKTX,Akari Therapeutics plc ADS,NASDAQ,Health Care,6856082
ALAB,Astera Labs Inc. Common Stock,NASDAQ,Technology,34470492840
ALAR,Alarum Technologies Ltd. American Depositary Share,NASDAQ,Technology,50463278
ALBT,Avalon GloboCare Corp. Common Stock,NASDAQ,Health Care,3495916
ALCO,Alico Inc. Common Stock,NASDAQ,,311931758
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,NASDAQ,Finance,0
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,NASDAQ,Finance,0
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,NASDAQ,,0
ALDX,Aldeyra Therapeutics Inc. Common Stock,NASDAQ,Health Care,97720130
ALEC,Alector Inc. Common Stock,NASDAQ,Health Care,278673219
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,NASDAQ,,0
ALFUU,Centurion Acquisition Corp. Unit,NASDAQ,Finance,0
ALFUW,Centurion Acquisition Corp. Warrant,NASDAQ,Finance,0
ALGM,Allegro MicroSystems Inc. Common Stock,NASDAQ,Technology,9168192248
ALGN,Align Technology Inc. Common Stock,NASDAQ,Health Care,12309577227
ALGS,Aligos Therapeutics Inc. Common Stock,NASDAQ,Health Care,34700156
ALGT,Allegiant Travel Company Common Stock,NASDAQ,Consumer Discretionary,1327727318
ALHC,Alignment Healthcare Inc. Common Stock,NASDAQ,Health Care,3981693431
ALIS,Calisa Acquisition Corp Ordinary shares,NASDAQ,,0
ALISR,Calisa Acquisition Corp Right,NASDAQ,Finance,0
ALISU,Calisa Acquisition Corp Units,NASDAQ,,0
ALKS,Alkermes plc Ordinary Shares,NASDAQ,Health Care,5680855374
ALKT,Alkami Technology Inc. Common Stock,NASDAQ,Technology,1837519218
ALLO,Allogene Therapeutics Inc. Common Stock,NASDAQ,Health Care,779737093
ALLR,Allarity Therapeutics Inc. Common Stock,NASDAQ,Health Care,19325905
ALLT,Allot Ltd. Ordinary Shares,NASDAQ,Telecommunications,370837090
ALM,Almonty Industries Inc. Common Shares,NASDAQ,Basic Materials,5509073034
ALMR,Alamar Biosciences Inc. Common Stock,NASDAQ,Industrials,1575217884
ALMS,Alumis Inc. Common Stock,NASDAQ,Health Care,3211783158
ALMU,Aeluma Inc. Common Stock,NASDAQ,Technology,413347709
ALNT,Allient Inc. Common Stock,NASDAQ,Industrials,1287419038
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,39776733311
ALOT,AstroNova Inc. Common Stock,NASDAQ,Technology,109084471
ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc. Class A Ordinary Shares,NASDAQ,,0
ALOVU,Aldabra 4 Liquidity Opportunity Vehicle Inc. Units,NASDAQ,Finance,0
ALOVW,Aldabra 4 Liquidity Opportunity Vehicle Inc. Warrants,NASDAQ,,0
ALOY,REalloys Inc. Common Stock,NASDAQ,Technology,539859609
ALP,Alpha Compute Corp Common Stock,NASDAQ,Energy,5999255
ALPS,ALPS Group Inc Ordinary Share,NASDAQ,,152921900
ALRM,Alarm.com Holdings Inc. Common Stock,NASDAQ,Technology,2333118785
ALRS,Alerus Financial Corporation Common Stock,NASDAQ,Finance,668170697
ALT,Altimmune Inc. Common Stock,NASDAQ,Health Care,586482061
ALTI,AlTi Global Inc. Class A Common Stock,NASDAQ,Finance,532178618
ALTO,Alto Ingredients Inc. Common Stock,NASDAQ,Industrials,423873948
ALVO,Alvotech Ordinary Shares,NASDAQ,Health Care,1098409988
ALVOW,Alvotech Warrant,NASDAQ,Health Care,85813280
ALXO,ALX Oncology Holdings Inc. Common Stock,NASDAQ,Health Care,252972644
ALZN,Alzamend Neuro Inc. Common Stock,NASDAQ,Health Care,4223263
AMAL,Amalgamated Financial Corp. Common Stock (DE),NASDAQ,Finance,1211025089
AMAT,Applied Materials Inc. Common Stock,NASDAQ,Technology,3.11E+11
AMBA,Ambarella Inc. Ordinary Shares,NASDAQ,Technology,3096749523
AMBR,Amber International Holding Limited American Depositary Shares,NASDAQ,Finance,207039264
AMCI,AMC Robotics Corporation Common Stock,NASDAQ,Consumer Discretionary,147095813
AMCX,AMC Global Media Inc. Class A Common Stock,NASDAQ,Telecommunications,364160732
AMD,Advanced Micro Devices Inc. Common Stock,NASDAQ,Technology,5.57E+11
AMGN,Amgen Inc. Common Stock,NASDAQ,Health Care,1.75E+11
AMIX,Autonomix Medical Inc. Common Stock,NASDAQ,Health Care,4253403
AMKR,Amkor Technology Inc. Common Stock,NASDAQ,Technology,17589033877
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,1828473206
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,NASDAQ,Miscellaneous,11746637
AMODW,Alpha Modus Holdings Inc. Warrant,NASDAQ,Miscellaneous,1781336
AMPG,Amplitech Group Inc. Common Stock,NASDAQ,Telecommunications,55728858
AMPGR,Amplitech Group Inc. Series A Right,NASDAQ,Telecommunications,1013252
AMPGZ,Amplitech Group Inc. Series B Right,NASDAQ,Telecommunications,2153160
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,1012725309
AMPL,Amplitude Inc. Class A Common Stock,NASDAQ,Technology,1065939984
AMRN,Amarin Corporation plc,NASDAQ,Health Care,298600112
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,NASDAQ,Health Care,4182077100
AMSC,American Superconductor Corporation Common Stock,NASDAQ,Consumer Discretionary,2394897936
AMSF,AMERISAFE Inc. Common Stock,NASDAQ,Finance,561861281
AMST,Amesite Inc. Common Stock,NASDAQ,Technology,4570884
AMTX,Aemetis Inc. (DE) Common Stock,NASDAQ,Industrials,243961205
AMWD,American Woodmark Corporation Common Stock,NASDAQ,Basic Materials,586280503
